SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_peers,age_cityman1,edu_cityman1,age_cityman2,edu_cityman2,age_cityman3,edu_cityman3,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,honest3,honest4,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-23T14:38:14.301Z,2023-08-23T14:55:31.660+03:00,,23/08/2023,1,OK,1,,2,3,1,0,,40,15,38,15,37,15,,,1,5,,2,3,2,2,2,3,5,4,2,2,2,3,3,4,2,2,5,4,4,4,,1,2,1,1,22,15,7,,0,0,0,,,No comments ,No comments ,,uuid:0c8d9bca-2e1d-4637-a3d7-3a15623dfec9,uuid:0c8d9bca-2e1d-4637-a3d7-3a15623dfec9,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-23T14:38:13.229Z,2023-08-23T13:04:34.161+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,1,4,4,4,2,5,5,3,4,4,4,1,3,4,4,2,5,2,2,4,,1,2,1,1,18,11,7,,0,0,0,,,No comments ,No comments ,,uuid:693ba3d7-7908-4cb0-a9ba-dcf2583ae295,uuid:693ba3d7-7908-4cb0-a9ba-dcf2583ae295,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-23T14:38:12.180Z,2023-08-23T12:52:23.905+03:00,,23/08/2023,1,OK,1,,2,3,1,0,,24,15,37,15,38,15,,,1,5,,3,3,1,1,1,5,5,4,2,4,2,4,4,4,2,2,4,2,2,4,,1,2,1,1,22,13,0,,0,0,0,,,No,No,,uuid:41a753b0-b866-499c-a330-ba786d5bd2a8,uuid:41a753b0-b866-499c-a330-ba786d5bd2a8,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-23T14:38:11.161Z,2023-08-23T12:36:43.847+03:00,,23/08/2023,1,,1,,2,3,1,0,,24,15,40,15,38,15,,,1,5,,2,4,4,3,3,2,2,4,4,4,5,4,4,2,3,2,4,4,4,2,,1,2,1,2,22,12,2 5,,0,0,0,,,No comments ,Well cooperate ,,uuid:9062883a-0b8a-4ed1-a2b7-da9fd95461b7,uuid:9062883a-0b8a-4ed1-a2b7-da9fd95461b7,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-23T14:38:10.164Z,2023-08-23T11:57:51.714+03:00,,23/08/2023,1,,1,,2,3,1,0,,40,15,37,15,24,15,,,1,5,,1,5,4,4,4,2,4,4,2,4,4,4,2,2,2,2,4,2,2,2,,1,2,2,3,22,11,0,,0,0,0,,,No comment ,NIL ,,uuid:62c9497f-f125-433c-b010-7693cfee6776,uuid:62c9497f-f125-433c-b010-7693cfee6776,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-23T14:38:08.147Z,2023-08-23T11:45:43.206+03:00,,23/08/2023,1,OK,1,,2,3,1,0,,40,15,38,15,37,15,,,1,5,,1,5,2,1,1,4,5,4,4,4,1,4,5,4,1,3,2,1,4,4,,1,2,3,2,23,15,2,,0,0,0,,,No comments ,No comments ,,uuid:9c1a929d-e6bf-4715-9e05-5b9f44d33078,uuid:9c1a929d-e6bf-4715-9e05-5b9f44d33078,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-22T13:10:56.528Z,2023-08-22T13:43:46.068+03:00,,22/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,2,4,4,1,1,2,5,4,4,4,2,1,2,5,2,2,2,5,2,4,,1,2,1,1,26,15,98,Counselling ,0,0,0,,,No comments ,No comments ,,uuid:51894cb3-2349-46ba-83e1-8b7586bc34bd,uuid:51894cb3-2349-46ba-83e1-8b7586bc34bd,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-22T13:10:55.150Z,2023-08-22T11:21:30.705+03:00,,22/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,1,5,2,2,2,4,5,3,2,4,2,2,3,2,4,1,4,2,3,5,,1,2,2,3,24,15,2,,0,0,1,,,No comments ,No comments ,,uuid:97de51fb-314f-4154-aeb7-eff2489bfacc,uuid:97de51fb-314f-4154-aeb7-eff2489bfacc,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-22T13:10:53.896Z,2023-08-22T10:43:12.513+03:00,,22/08/2023,1,,1,,2,3,1,0,,24,15,37,15,40,15,,,1,5,,1,5,1,2,1,4,5,5,3,5,2,2,4,2,2,2,4,4,3,4,,1,2,2,3,25,11,2 4,,0,0,2,,,No comment ,NIL ,,uuid:730905f4-bf7c-4a42-b659-30f4f8e88eed,uuid:730905f4-bf7c-4a42-b659-30f4f8e88eed,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-22T13:10:52.882Z,2023-08-22T10:29:11.734+03:00,,22/08/2023,1,OK,1,,2,3,1,0,,37,15,24,15,38,15,,,1,5,,2,4,3,3,2,3,3,3,2,3,4,2,3,3,3,3,3,3,5,2,,1,2,1,1,22,11,2,,1,0,0,,,No,No,,uuid:60f042ca-043e-4216-8ba8-b57ea12aac53,uuid:60f042ca-043e-4216-8ba8-b57ea12aac53,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
