SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_peers,age_elder1,edu_elder1,age_elder2,edu_elder2,age_elder3,edu_elder3,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,honest3,honest4,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-23T14:45:35.376Z,2023-08-23T13:28:51.974+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,2,5,1,2,1,4,4,5,4,2,4,2,2,4,2,1,2,2,5,4,,1,2,1,3,25,7,2,,0,0,0,,,No comments,The interview was good,,uuid:3ab7f899-4292-4865-8991-af8719bbff27,uuid:3ab7f899-4292-4865-8991-af8719bbff27,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:34.258Z,2023-08-23T13:08:11.569+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,2,4,4,2,1,2,5,1,4,1,4,4,2,5,2,5,2,4,4,2,,1,2,2,3,20,7,4 1,,0,0,0,,,No comments,Good interview,,uuid:bcd47c1f-6f18-4232-a813-c73e815432a1,uuid:bcd47c1f-6f18-4232-a813-c73e815432a1,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:32.753Z,2023-08-23T12:43:40.829+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,2,4,4,2,2,2,4,2,1,4,4,1,2,2,5,2,2,2,4,2,,1,2,1,2,29,7,4,,1,1,1,,,No comments,Good interview,,uuid:a714687c-9a55-4cbd-a666-8b8160646ca4,uuid:a714687c-9a55-4cbd-a666-8b8160646ca4,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:31.676Z,2023-08-23T12:13:38.484+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,1,4,4,1,1,3,3,5,4,5,1,2,3,3,4,2,5,2,2,4,,1,1,1,2,21,7,7 4 11,,0,0,0,,,No comments,Good interview,,uuid:e6fa781c-67a9-4ec5-9252-cbcff1acaca0,uuid:e6fa781c-67a9-4ec5-9252-cbcff1acaca0,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:30.695Z,2023-08-23T11:54:40.268+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,2,4,2,2,2,4,4,4,2,4,2,2,4,4,1,1,4,5,4,4,,1,2,1,1,29,7,7 1,,1,0,2,,,No comments,Good interview,,uuid:c8e7c51d-aa99-4db4-8a8c-bd8af36500f3,uuid:c8e7c51d-aa99-4db4-8a8c-bd8af36500f3,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:29.704Z,2023-08-23T11:07:33.387+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,1,5,4,4,2,5,5,4,1,2,4,4,2,1,4,4,5,5,1,2,,1,2,1,2,19,0,11 2,,0,0,0,,,No comments,Good interview,,uuid:5f7a6d24-dc59-4cd4-856a-87715791893c,uuid:5f7a6d24-dc59-4cd4-856a-87715791893c,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:28.257Z,2023-08-23T10:48:20.751+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,2,4,4,4,2,2,4,5,4,2,4,2,2,2,4,2,4,4,4,4,,1,2,2,3,19,7,2 1,,0,0,0,,,No comments,Good interview,,uuid:2c40bc54-c973-4952-99e7-80603e3406d9,uuid:2c40bc54-c973-4952-99e7-80603e3406d9,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:27.088Z,2023-08-23T10:19:29.918+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,1,5,4,4,2,2,5,5,2,2,5,2,2,1,4,4,4,2,4,2,,1,2,1,3,19,7,2,,0,0,0,,,No comments,Good interview,,uuid:adde3d29-a6e2-44e2-9c54-bcaeca26a6e0,uuid:adde3d29-a6e2-44e2-9c54-bcaeca26a6e0,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:26.049Z,2023-08-23T09:58:03.273+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,60,7,69,9,62,7,,,1,5,,2,4,2,1,1,5,5,5,4,5,5,3,5,4,2,1,3,1,4,5,,1,2,1,3,24,7,7 2,,0,0,0,,,No comments,The interview. was good,,uuid:ae5c852e-2ead-49e7-9095-ac5b72178aa7,uuid:ae5c852e-2ead-49e7-9095-ac5b72178aa7,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-23T14:45:24.616Z,2023-08-23T09:38:34.413+03:00,,23/08/2023,1,OK,1,,1,1,0,0,,60,7,69,9,62,7,,,1,5,,1,5,1,2,1,2,1,4,2,5,5,5,1,5,5,1,5,1,2,1,,1,2,1,2,30,7,7 1,,0,1,2,,,No comments,The interview was good,,uuid:9f2e8bc6-53e5-4de3-916f-5cc672fed056,uuid:9f2e8bc6-53e5-4de3-916f-5cc672fed056,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-22T13:13:23.375Z,2023-08-22T13:58:29.740+03:00,,22/08/2023,1,OK,1,,2,1,1,0,,69,9,62,7,62,7,,,1,5,,2,5,2,2,2,2,4,4,2,4,2,2,4,4,2,1,2,2,2,4,,1,2,1,3,27,8,7 11,,0,1,1,,,No comments,Good interview,,uuid:f06aa31f-550f-4a2c-b3e0-4531bbc40d2f,uuid:f06aa31f-550f-4a2c-b3e0-4531bbc40d2f,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-22T13:13:22.066Z,2023-08-22T13:28:53.995+03:00,,22/08/2023,1,OK,1,,1,1,1,0,,69,9,62,7,62,7,,,1,5,,2,4,4,4,4,4,4,4,2,2,3,2,4,4,4,4,4,4,4,2,,1,2,1,3,28,11,4,,1,0,1,,,No comments,Good interview,,uuid:d45ad87a-07af-4e0e-b5b5-fcbc9111d815,uuid:d45ad87a-07af-4e0e-b5b5-fcbc9111d815,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
