SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_peers,age_peer1,edu_peer1,known_peer1,age_peer2,edu_peer2,known_peer2,age_peer3,edu_peer3,known_peer3,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,honest3,honest4,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-23T14:38:52.117Z,2023-08-23T13:10:20.238+03:00,,23/08/2023,1,OK,1,,1,1,1,0,,23,15,1,23,11,1,22,11,1,,,1,5,,1,4,4,4,2,4,4,4,4,4,2,4,2,4,2,2,4,2,2,4,,1,2,2,3,21,7,4,,0,0,0,,,,,,uuid:b9dfa433-f268-4dd9-98f0-9b1197756610,uuid:b9dfa433-f268-4dd9-98f0-9b1197756610,21,Tablet 3,2,2,,,collect:bdJSB2Qr9ZA7I3SS,0,205[encrypted:AYmtIFM+]
2023-08-23T14:38:50.954Z,2023-08-23T11:32:20.455+03:00,,23/08/2023,1,OK,1,,1,2,1,0,,22,7,1,21,9,1,22,13,1,,,1,5,,2,5,2,2,1,4,4,3,5,4,2,4,5,1,2,1,4,1,2,1,,1,2,2,3,23,11,0,,0,0,0,,,,,,uuid:1ead6f71-11ca-4204-8037-fa4ddc5693ea,uuid:1ead6f71-11ca-4204-8037-fa4ddc5693ea,21,Tablet 3,2,2,,,collect:bdJSB2Qr9ZA7I3SS,0,205[encrypted:AYmtIFM+]
2023-08-23T14:38:49.218Z,2023-08-23T10:45:58.548+03:00,,23/08/2023,1,OK,1,,1,1,1,0,,20,0,1,27,7,1,20,7,1,,,1,5,,1,5,2,2,1,5,5,5,2,4,2,4,3,2,2,2,2,2,4,5,,1,2,3,3,22,11,2 7,,0,0,0,,,,,,uuid:ac358526-4a07-44cc-8747-2515b15a91db,uuid:ac358526-4a07-44cc-8747-2515b15a91db,21,Tablet 3,2,2,,,collect:bdJSB2Qr9ZA7I3SS,0,205[encrypted:AYmtIFM+]
2023-08-23T14:38:39.934Z,2023-08-23T13:41:51.525+03:00,,23/08/2023,1,,1,,1,1,1,0,,27,11,1,23,11,1,20,11,1,,,1,5,,2,4,2,1,2,2,4,5,5,1,3,3,5,3,1,4,4,2,5,5,,1,3,1,1,23,11,2,,0,0,0,,,Hakuna,Good Interview,,uuid:7b5d0fcb-c9fc-4a9d-90b8-ec9abcd9da5a,uuid:7b5d0fcb-c9fc-4a9d-90b8-ec9abcd9da5a,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-23T14:38:37.997Z,2023-08-23T12:55:56.100+03:00,,23/08/2023,1,,1,,1,1,1,0,,26,11,0,23,7,1,22,7,0,,,1,5,,2,5,4,2,1,5,5,5,1,5,1,1,5,5,1,1,5,5,1,5,,1,2,1,3,22,11,2,,0,0,0,,,Hakuna,Excellent interview with intensive discussions,,uuid:5dd2bdc8-b587-4940-919d-a30f03b60be2,uuid:5dd2bdc8-b587-4940-919d-a30f03b60be2,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-23T14:38:35.850Z,2023-08-23T12:25:27.413+03:00,,23/08/2023,1,,1,,1,2,1,0,,24,7,0,24,11,0,30,11,1,,,1,5,,1,5,4,2,2,4,4,5,2,4,3,2,3,4,2,5,2,4,5,4,,1,2,1,3,22,11,10,,0,0,0,,,What do you do with this data?I mean feedback,Good interview,,uuid:6cce10c7-d549-40e6-95ef-279d84d32fb2,uuid:6cce10c7-d549-40e6-95ef-279d84d32fb2,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-23T14:38:31.228Z,2023-08-23T10:25:14.551+03:00,,23/08/2023,1,,1,,1,1,1,0,,25,11,0,24,4,1,24,9,0,,,1,5,,1,5,2,1,2,1,5,4,1,2,5,1,5,1,1,4,5,5,4,4,,1,1,1,1,18,7,2,,0,0,0,,,Hakuna,Nice interview,,uuid:d55a58ad-1a8c-46c7-88d9-8edddc7fab95,uuid:d55a58ad-1a8c-46c7-88d9-8edddc7fab95,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-22T13:11:37.124Z,2023-08-22T12:59:02.346+03:00,,22/08/2023,1,OK,1,,2,3,1,0,,18,7,1,22,7,1,29,11,1,,,1,5,,1,5,2,2,2,2,2,5,5,2,3,3,4,2,2,2,4,2,4,1,,1,2,2,1,26,13,,,0,0,0,,,,,,uuid:c5086875-d3ab-416e-873d-c77ae019ac40,uuid:c5086875-d3ab-416e-873d-c77ae019ac40,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-22T13:11:35.603Z,2023-08-22T12:26:11.382+03:00,,22/08/2023,1,OK,1,,2,1,0,1,,25,5,1,23,9,1,24,13,1,,,1,5,,1,5,1,1,1,4,5,2,2,1,2,4,4,2,2,2,3,2,2,2,,1,2,2,2,27,13,4 2,,1,1,2,,,,,,uuid:29967a7a-bd29-4e32-8d2c-33e91f1fbbd0,uuid:29967a7a-bd29-4e32-8d2c-33e91f1fbbd0,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-22T13:11:34.282Z,2023-08-22T11:21:40.554+03:00,,22/08/2023,1,OK,1,,2,3,1,0,,23,7,1,21,7,1,24,11,1,,,1,5,,1,5,2,2,2,2,4,4,4,4,4,3,3,4,2,2,3,2,2,4,,1,2,2,3,26,15,4,,0,0,1,,,There must be education in the churches about relationships and gender issues ,,,uuid:d6aaa6ce-1bf9-4a99-83f0-0e6fdfd45238,uuid:d6aaa6ce-1bf9-4a99-83f0-0e6fdfd45238,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-22T13:11:31.532Z,2023-08-22T10:56:41.501+03:00,,22/08/2023,1,OK,1,,2,3,1,0,,22,7,1,30,7,1,28,10,1,,,1,5,,1,5,1,1,1,4,4,4,3,4,2,4,4,4,1,1,2,2,3,4,,1,2,3,2,26,15,5 11,,0,0,0,,,,,,uuid:f6525a8a-c38c-4ef5-986d-1cc67ce2291b,uuid:f6525a8a-c38c-4ef5-986d-1cc67ce2291b,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-22T13:11:26.095Z,2023-08-22T10:18:13.580+03:00,,22/08/2023,1,OK,1,,2,3,1,0,,20,7,1,26,7,1,24,11,1,,,1,5,,1,5,2,2,2,2,4,4,4,2,5,2,2,1,4,2,4,1,4,4,,1,2,2,3,24,0,4,,1,0,1,,,,,,uuid:071a1695-f973-4139-ad49-5371380588e3,uuid:071a1695-f973-4139-ad49-5371380588e3,24,Tablet 2,2,2,,,collect:gkAUY0ozb0IEMNAS,0,205[encrypted:AYmtIFM+]
2023-08-21T13:05:29.445Z,2023-08-21T13:23:24.227+03:00,,21/08/2023,1,OK,1,,2,3,1,0,,27,7,1,24,7,1,23,10,1,,,1,5,,1,5,2,2,2,4,3,4,4,4,4,4,3,2,2,2,2,3,2,2,,1,2,2,2,21,8,2 4,,0,0,0,,,,,,uuid:71686acd-1e94-4610-a93e-db45c774b75d,uuid:71686acd-1e94-4610-a93e-db45c774b75d,21,Tablet 3,2,2,,,collect:bdJSB2Qr9ZA7I3SS,0,205[encrypted:AYmtIFM+]
