SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-23T14:39:24.196Z,2023-08-23T14:08:06.927+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,,1,5,,1,2,1,1,1,5,5,5,3,5,3,1,5,5,4,4,4,1,4,5,,1,2,27,11,2,,0,0,0,,,No Comment ,He replied well ,,uuid:25c0e646-38f3-47eb-a1a5-0c165a343428,uuid:25c0e646-38f3-47eb-a1a5-0c165a343428,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-23T14:39:23.049Z,2023-08-23T13:09:04.500+03:00,,23/08/2023,1,OK,1,,2,3,1,0,,,1,5,,1,4,5,5,1,3,3,3,3,1,3,3,3,4,1,5,4,1,2,5,,1,2,26,11,2,,0,0,0,,,No Comment ,He replied well ,,uuid:fc57eb36-dd69-450a-9ed5-7401f4b74b57,uuid:fc57eb36-dd69-450a-9ed5-7401f4b74b57,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-23T14:39:21.986Z,2023-08-23T13:00:28.950+03:00,,23/08/2023,1,OK,1,,2,3,1,0,,,1,5,,1,5,4,5,1,4,3,3,2,4,3,4,1,3,1,1,4,3,2,1,,1,2,29,4,2,,0,0,0,,,No Comment ,He replied well ,,uuid:bde843e5-7fb1-4cfa-96b9-6699ee1f9992,uuid:bde843e5-7fb1-4cfa-96b9-6699ee1f9992,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-23T14:39:21.007Z,2023-08-23T11:31:49.524+03:00,,23/08/2023,1,OK,1,,2,3,1,0,,,1,5,,1,4,1,1,1,2,5,5,3,5,2,3,2,4,1,1,5,2,2,5,,1,2,25,11,2,,1,0,0,,,No Comment ,He replied well ,,uuid:3e692e19-4fe6-4144-98e8-bff6c36dc489,uuid:3e692e19-4fe6-4144-98e8-bff6c36dc489,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-23T14:39:19.978Z,2023-08-23T11:07:26.271+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,,1,5,,1,4,4,1,1,2,5,4,3,1,3,1,5,4,1,1,3,4,5,3,,1,2,30,13,7,,1,0,1,,,No Comment ,He replied well ,,uuid:5da19808-b112-4855-96d4-e41b555a76d6,uuid:5da19808-b112-4855-96d4-e41b555a76d6,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-23T14:39:18.868Z,2023-08-23T10:59:24.286+03:00,,23/08/2023,1,OK,1,,2,3,1,0,,,1,5,,2,5,4,2,1,2,4,5,2,2,5,3,2,4,1,4,2,5,4,1,,1,2,27,13,7,,0,0,0,,,No Comment ,He replied well ,,uuid:d8513044-1129-4fed-89ac-88c6e2b48037,uuid:d8513044-1129-4fed-89ac-88c6e2b48037,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-23T14:39:17.756Z,2023-08-23T10:48:31.351+03:00,,23/08/2023,1,OK,1,,2,1,1,0,,,1,5,,1,1,2,2,1,3,5,5,3,4,3,2,5,5,2,3,5,3,2,3,,1,2,24,11,7,,0,0,0,,,No Comment ,He replied well ,,uuid:2d13cf8d-a5bc-4ad2-aa44-8629e1e3a5e6,uuid:2d13cf8d-a5bc-4ad2-aa44-8629e1e3a5e6,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-22T13:10:21.910Z,2023-08-22T14:05:29.627+03:00,,22/08/2023,1,OK,1,,2,1,1,0,,,1,5,,3,4,3,3,1,4,4,3,2,4,3,4,4,5,3,2,3,3,3,4,,1,2,21,11,4,,0,0,0,,,No Comment ,He replied well ,,uuid:fe0aa849-028b-451a-b1ea-650d62e48d5d,uuid:fe0aa849-028b-451a-b1ea-650d62e48d5d,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-22T13:10:20.871Z,2023-08-22T13:49:56.377+03:00,,22/08/2023,1,,1,,2,3,1,0,,,1,5,,2,3,2,2,1,2,5,4,2,4,5,3,4,5,1,5,2,1,1,3,,1,2,23,13,10,,0,0,0,,,"
No Comment ",He replied well ,,uuid:5f53cbbf-1b98-4a94-a67b-0b521fda5535,uuid:5f53cbbf-1b98-4a94-a67b-0b521fda5535,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-22T13:10:19.773Z,2023-08-22T13:17:30.574+03:00,,22/08/2023,1,OK,1,,2,1,1,0,,,1,5,,1,5,1,3,3,5,5,5,3,3,5,5,4,5,2,5,4,2,4,5,,1,2,28,11,2,,1,0,0,,,No Comment ,He replied well ,,uuid:0ea9879e-bf52-4dc9-a747-5209342edc24,uuid:0ea9879e-bf52-4dc9-a747-5209342edc24,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-22T13:10:18.460Z,2023-08-22T12:36:05.452+03:00,,22/08/2023,1,OK,1,,2,3,1,0,,,1,5,,1,2,2,2,1,5,4,5,3,4,5,5,5,3,1,1,2,3,3,5,,1,2,26,9,8,,1,0,0,,,No Comment ,He replied well ,,uuid:96caef82-a141-4303-bc3b-5f12b0d8b08e,uuid:96caef82-a141-4303-bc3b-5f12b0d8b08e,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
